url,title,locate,tag,numOfPeople,totalMoney,percentage,author,date
https://www.kaishiba.com/project/detail/id/6D6DB24E9924599CE050190AFD012361,3年开出13家酒店，维也纳“一哥”带你席卷侨乡,南宁市,酒店,41,2140004,2140.00,李东军,2018年09月11日
https://www.kaishiba.com/project/detail/id/738EB0D1141480E1E050190AFD0129ED,在鄂西秘境，隐于山水，6个知己，就是一整个茶书江湖,恩施土家族苗族自治州,民宿,101,2415003,4830.01,黄秋珍,2018年09月10日
https://www.kaishiba.com/project/detail/id/73FF088D4534D8DAE050190AFD014602,洛川红富士苹果，来自苹果之乡的真正好味道,延安市,农业,85,42036,840.72,李鹏娜,2018年09月08日
https://www.kaishiba.com/project/detail/id/74A0AE81E427FA7FE050190AFD0127DC,这栋3400平的海边大别墅，提供三亚度假的100种生活,三亚市,民宿,90,2044062,4088.12,潘微,2018年09月07日
https://www.kaishiba.com/project/detail/id/6C76C048656D21DAE050190AFD017558,这个秋天，让我带你品尝真正的五常大米！,哈尔滨市,农业,300,128041,2560.82,孙铭瑶,2018年09月07日
https://www.kaishiba.com/project/detail/id/71CC4DF57E5453ABE050190AFD0113E4,千年木渎，苏式建筑，用高新技术引领未来居住,苏州市,民宿,97,4110055,4110.06,胡建光,2018年09月06日
https://www.kaishiba.com/project/detail/id/733B7AD347065850E050190AFD010F7F,1亿会员加持的桔子酒店，遇上北上海最大商业综合体,虹口区,酒店,140,6515603,6515.60,杨斌,2018年09月05日
https://www.kaishiba.com/project/detail/id/71C3DDB9A9FFF3ADE050190AFD0115EC,张艺谋倾心，好莱坞钦定，中国地理都打卡之地，有一个艺术家村落,武隆区,民宿,50,1470001,1470.00,颜军,2018年09月04日
https://www.kaishiba.com/project/detail/id/73640A89CB34E64BE050190AFD0128AB,关茶，关于抹茶的一万种可能,朝阳区,休闲,731,2950757,59015.14,小关,2018年09月04日
https://www.kaishiba.com/project/detail/id/742AD633103CC40DE050190AFD010523,长白山脉有一颗等待你的神草人参,通化市,农业,7,7129,14.26,于丛龙,2018年09月03日
https://www.kaishiba.com/project/detail/id/734C75E7A03AADA2E050190AFD0106B0,山之巅，林之间，有一片你我心中向往的梦田,宁德市,农业,28,116276,5813.80,唐振,2018年09月02日
https://www.kaishiba.com/project/detail/id/71A3F6B7F7855057E050190AFD0174D7,来吧，一口吃下两千年,长沙市,农业,83,2612338,261233.80,何洁,2018年09月01日
https://www.kaishiba.com/project/detail/id/6CA49BA71B287330E050190AFD010C91,在“绿色仙境”李八姑后代带领千户茶农造就6000亩茶园！,恩施土家族苗族自治州,农业,40,1140063,1140.06,刘小英,2018年08月31日
https://www.kaishiba.com/project/detail/id/74163AC2CCA2A9C9E050190AFD01578E,多喝水，喝海水,广州市,休闲,52,407204,20360.20,陈涛,2018年08月30日
https://www.kaishiba.com/project/detail/id/70145D0418D5F8B6E050190AFD0177ED,做即食海鲜的领跑者，渔人小胖，让吃顿海鲜很简单,烟台市,农业,167,1135261,113526.10,王国明,2018年08月30日
https://www.kaishiba.com/project/detail/id/735F36839EF19095E050190AFD015164,吃一口让你大喊“Amazing”的正泰，又双叒来了！,北京市,餐饮,123,4575008,4575.01,刘明明,2018年08月29日
